IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,速度(MB/s)
104.22.64.50,2052,FALSE,LAX,北美洲,洛杉矶,208 ms,14810 kB/s,14.46
154.197.121.127,443,TRUE,SEA,北美洲,西雅图,182 ms,14569 kB/s,14.23
34.93.226.165,80,FALSE,BOM,亚太,孟买,277 ms,14488 kB/s,14.15
104.24.176.50,2052,FALSE,LAX,北美洲,洛杉矶,207 ms,14483 kB/s,14.14
34.117.254.68,80,FALSE,HKG,亚太,香港,36 ms,14456 kB/s,14.12
8.210.55.134,2086,FALSE,HKG,亚太,香港,40 ms,14363 kB/s,14.03
104.25.192.50,2052,FALSE,LAX,北美洲,洛杉矶,207 ms,14226 kB/s,13.89
172.64.192.50,2052,FALSE,LAX,北美洲,洛杉矶,209 ms,14167 kB/s,13.83
104.18.64.50,2052,FALSE,SEA,北美洲,西雅图,180 ms,14128 kB/s,13.8
185.148.15.219,29293,TRUE,SJC,北美洲,圣何塞,143 ms,14101 kB/s,13.77
154.197.121.253,443,TRUE,SEA,北美洲,西雅图,182 ms,13927 kB/s,13.6
104.20.96.50,2052,FALSE,SJC,北美洲,圣何塞,155 ms,13903 kB/s,13.58
104.20.27.133,2096,TRUE,SJC,北美洲,圣何塞,197 ms,13863 kB/s,13.54
43.153.103.203,443,TRUE,SJC,北美洲,圣何塞,198 ms,13856 kB/s,13.53
152.69.219.31,41746,TRUE,SIN,亚太,新加坡,134 ms,13836 kB/s,13.51
104.129.165.133,443,TRUE,SEA,北美洲,西雅图,179 ms,13785 kB/s,13.46
104.18.224.50,2052,FALSE,SJC,北美洲,圣何塞,159 ms,13739 kB/s,13.42
172.64.69.50,2052,FALSE,SJC,北美洲,圣何塞,160 ms,13686 kB/s,13.37
104.18.0.50,2052,FALSE,SEA,北美洲,西雅图,200 ms,13678 kB/s,13.36
168.138.184.172,443,TRUE,SIN,亚太,新加坡,143 ms,13599 kB/s,13.28
54.95.94.250,443,TRUE,NRT,亚太,东京,42 ms,13500 kB/s,13.18
4.255.56.137,443,TRUE,IAD,北美洲,阿什本,227 ms,13497 kB/s,13.18
54.73.170.6,443,TRUE,DUB,欧洲,都柏林,186 ms,13492 kB/s,13.18
129.146.46.164,443,TRUE,LAX,北美洲,洛杉矶,220 ms,13443 kB/s,13.13
104.17.48.50,2052,FALSE,HKG,亚太,香港,34 ms,13426 kB/s,13.11
8.218.136.25,8080,FALSE,HKG,亚太,香港,40 ms,13356 kB/s,13.04
104.16.176.50,2052,FALSE,SJC,北美洲,圣何塞,187 ms,13292 kB/s,12.98
125.227.213.107,23555,TRUE,KHH,亚太,高雄,59 ms,13222 kB/s,12.91
104.16.240.50,2052,FALSE,HKG,亚太,香港,35 ms,13156 kB/s,12.85
47.242.171.94,443,TRUE,HKG,亚太,香港,37 ms,13144 kB/s,12.84
104.16.144.50,2052,FALSE,HKG,亚太,香港,34 ms,13119 kB/s,12.81
34.120.80.23,80,FALSE,HKG,亚太,香港,36 ms,13116 kB/s,12.81
45.205.0.136,443,TRUE,SEA,北美洲,西雅图,180 ms,13083 kB/s,12.78
8.218.126.53,8443,TRUE,HKG,亚太,香港,38 ms,12950 kB/s,12.65
104.17.215.54,2096,TRUE,HKG,亚太,香港,35 ms,12938 kB/s,12.63
34.66.72.229,443,TRUE,ORD,北美洲,芝加哥,225 ms,12872 kB/s,12.57
150.230.47.17,443,TRUE,SJC,北美洲,圣何塞,198 ms,12836 kB/s,12.54
47.243.27.217,8080,FALSE,HKG,亚太,香港,41 ms,12798 kB/s,12.5
104.20.27.224,2096,TRUE,SJC,北美洲,圣何塞,189 ms,12741 kB/s,12.44
104.16.192.50,2052,FALSE,HKG,亚太,香港,36 ms,12692 kB/s,12.39
104.18.240.50,2052,FALSE,SJC,北美洲,圣何塞,191 ms,12686 kB/s,12.39
104.16.42.222,443,TRUE,HKG,亚太,香港,36 ms,12666 kB/s,12.37
47.243.179.249,8443,TRUE,HKG,亚太,香港,42 ms,12623 kB/s,12.33
190.93.244.50,2052,FALSE,SJC,北美洲,圣何塞,162 ms,12565 kB/s,12.27
172.67.240.50,2052,FALSE,LAX,北美洲,洛杉矶,207 ms,12563 kB/s,12.27
154.9.207.173,443,TRUE,LAX,北美洲,洛杉矶,177 ms,12541 kB/s,12.25
162.159.3.50,2052,FALSE,LAX,北美洲,洛杉矶,206 ms,12487 kB/s,12.19
104.26.0.50,2052,FALSE,SEA,北美洲,西雅图,182 ms,12392 kB/s,12.1
192.9.246.112,8443,TRUE,SJC,北美洲,圣何塞,198 ms,12375 kB/s,12.08
104.17.168.64,443,TRUE,HKG,亚太,香港,35 ms,12358 kB/s,12.07
129.150.58.86,57621,TRUE,SIN,亚太,新加坡,124 ms,12286 kB/s,12
18.166.180.230,8443,TRUE,HKG,亚太,香港,36 ms,12280 kB/s,11.99
158.178.240.232,23559,TRUE,SIN,亚太,新加坡,134 ms,12228 kB/s,11.94
104.16.0.50,2052,FALSE,SEA,北美洲,西雅图,178 ms,12226 kB/s,11.94
154.17.226.170,443,TRUE,LAX,北美洲,洛杉矶,134 ms,12226 kB/s,11.94
211.22.240.107,36373,TRUE,NRT,亚太,东京,122 ms,12218 kB/s,11.93
104.17.189.55,443,TRUE,HKG,亚太,香港,34 ms,12205 kB/s,11.92
198.41.208.50,2052,FALSE,HKG,亚太,香港,35 ms,12161 kB/s,11.88
8.210.55.134,8080,FALSE,HKG,亚太,香港,40 ms,12147 kB/s,11.86
104.16.200.64,443,TRUE,HKG,亚太,香港,34 ms,12129 kB/s,11.84
4.255.56.138,443,TRUE,IAD,北美洲,阿什本,200 ms,12120 kB/s,11.84
172.64.152.50,2052,FALSE,HKG,亚太,香港,35 ms,12115 kB/s,11.83
104.17.212.139,443,TRUE,HKG,亚太,香港,34 ms,12115 kB/s,11.83
172.64.36.50,2052,FALSE,LAX,北美洲,洛杉矶,207 ms,12112 kB/s,11.83
20.233.1.56,8443,TRUE,BOM,亚太,孟买,154 ms,12103 kB/s,11.82
34.123.83.237,443,TRUE,ORD,北美洲,芝加哥,219 ms,12096 kB/s,11.81
104.17.184.133,443,TRUE,HKG,亚太,香港,38 ms,12093 kB/s,11.81
172.64.145.50,2052,FALSE,HKG,亚太,香港,35 ms,11984 kB/s,11.7
8.218.156.91,80,FALSE,HKG,亚太,香港,41 ms,11969 kB/s,11.69
129.146.247.85,2053,TRUE,LAX,北美洲,洛杉矶,214 ms,11881 kB/s,11.6
188.114.96.50,2052,FALSE,SJC,北美洲,圣何塞,192 ms,11832 kB/s,11.55
172.67.176.50,2052,FALSE,SEA,北美洲,西雅图,183 ms,11824 kB/s,11.55
13.201.95.252,8443,TRUE,DEL,亚太,新德里,145 ms,11792 kB/s,11.52
193.123.69.3,443,TRUE,CDG,欧洲,巴黎,144 ms,11703 kB/s,11.43
198.41.212.50,2052,FALSE,HKG,亚太,香港,37 ms,11667 kB/s,11.39
34.41.252.92,443,TRUE,ORD,北美洲,芝加哥,233 ms,11536 kB/s,11.27
104.17.156.158,443,TRUE,HKG,亚太,香港,38 ms,11426 kB/s,11.16
104.17.160.33,443,TRUE,HKG,亚太,香港,36 ms,11385 kB/s,11.12
